KEY,VALUE
BROMUS HEDERACEUM,1
Camassia,1
Eryngium annus,1
orchys cephalanthere,1
Festuca rubra Gr.,145800
Centaurea jacea  (Groupe),145798
Centaurea jacea Gr.,145798
Taraxacum ruderalia (Groupe),145799
taraxacum sc. spectabilia,145799
Taraxacum section ruderalia,145799
taraxacum spectabilia,145799
